,Unnamed: 0,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,Description,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,case_enquiry_id,open_dt,target_dt,closed_dt,ontime,case_status,closure_reason,case_title,subject,reason,queue,department,submittedphoto,closedphoto,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,source
0,221,212073579,3803,,M/V ACCIDENT - PERSONAL INJURY,D4, ,0,10/11/21 1:50,2021,10,Monday,1,,"MASSACHUSETTS AVE & WASHINGTON ST
BOSTON  MA 02118",42.33645001,-71.07702795,"(42.3364500076483, -71.077027948585)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,282,212073487,3410,,TOWED MOTOR VEHICLE,D4,147,0,10/10/21 17:37,2021,10,Sunday,17,,COLUMBUS AVE,42.34087158,-71.08145768,"(42.3408715801778, -71.0814576818529)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,323,212073439,3005,,SICK ASSIST,D4, ,0,10/10/21 14:38,2021,10,Sunday,14,,"MASSACHUSETTS AVE & TREMONT ST
BOSTON  MA 02118
UN",42.33930997,-71.08032002,"(42.3393099710364, -71.0803200199634)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,398,212073321,801,,ASSAULT - SIMPLE,D4, ,0,10/9/21 22:00,2021,10,Saturday,22,,MASSACHUSETTS AVE,42.34194788,-71.08362479,"(42.3419478819786, -71.0836247862163)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,429,212073269,2905,,VAL - VIOLATION OF AUTO LAW,D4, ,0,10/9/21 20:42,2021,10,Saturday,20,,"COLUMBUS AVE & WELLINGTON ST
BOSTON  MA 02118
UNIT",42.34113104,-71.08114699,"(42.3411310385248, -71.0811469880401)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,564,212073079,3115,,INVESTIGATE PERSON,D4,171,0,10/9/21 7:53,2021,10,Saturday,7,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,580,212073057,423,,ASSAULT - AGGRAVATED,D4,172,0,10/9/21 4:06,2021,10,Saturday,4,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)",,,,,,,,,,,,,,,,,,,,,,,,,,
7,752,212072839,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4,172,0,10/8/21 14:00,2021,10,Friday,14,,MASSACHUSETTS AVE,42.33311189,-71.0727637,"(42.3331118903074, -71.0727636993273)",,,,,,,,,,,,,,,,,,,,,,,,,,
8,754,212072837,3007,,SUDDEN DEATH,D4,273,0,10/8/21 12:52,2021,10,Friday,12,,NORTHAMPTON ST,42.33665048,-71.07841035,"(42.3366504823943, -71.0784103520186)",,,,,,,,,,,,,,,,,,,,,,,,,,
9,757,212072833,3830,,M/V - LEAVING SCENE - PERSONAL INJURY,D4, ,0,10/8/21 13:36,2021,10,Friday,13,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.333606,-71.07338005,"(42.333606002892, -71.0733800542936)",,,,,,,,,,,,,,,,,,,,,,,,,,
10,825,212072743,2670,,HARASSMENT/ CRIMINAL HARASSMENT,D4,271,0,10/8/21 8:07,2021,10,Friday,8,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)",,,,,,,,,,,,,,,,,,,,,,,,,,
11,856,212072692,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,270,0,10/7/21 22:05,2021,10,Thursday,22,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)",,,,,,,,,,,,,,,,,,,,,,,,,,
12,1000,212072515,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,171,0,10/6/21 10:00,2021,10,Wednesday,10,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)",,,,,,,,,,,,,,,,,,,,,,,,,,
13,1203,212072235,613,,LARCENY SHOPLIFTING,D4,270,0,10/6/21 11:51,2021,10,Wednesday,11,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)",,,,,,,,,,,,,,,,,,,,,,,,,,
14,1229,212072198,3115,,INVESTIGATE PERSON,D4,155,0,10/6/21 10:19,2021,10,Wednesday,10,,WORCESTER ST,42.34102033,-71.07972113,"(42.3410203252781, -71.0797211297783)",,,,,,,,,,,,,,,,,,,,,,,,,,
15,1261,212072159,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4,271,0,10/6/21 8:09,2021,10,Wednesday,8,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)",,,,,,,,,,,,,,,,,,,,,,,,,,
16,1284,212072126,3005,,SICK ASSIST,D4,271,0,10/6/21 0:11,2021,10,Wednesday,0,,MASSACHUSETTS AVE,42.335482,-71.07586449,"(42.3354820018339, -71.0758644934091)",,,,,,,,,,,,,,,,,,,,,,,,,,
17,1291,212072118,3115,,INVESTIGATE PERSON,D4,156,0,10/5/21 23:03,2021,10,Tuesday,23,,W CONCORD ST,42.33961962,-71.07699237,"(42.3396196180069, -71.0769923673942)",,,,,,,,,,,,,,,,,,,,,,,,,,
18,1294,212072109,2905,,VAL - VIOLATION OF AUTO LAW,D4,273,0,10/5/21 22:33,2021,10,Tuesday,22,,CAMDEN ST,42.33744114,-71.08057671,"(42.337441144368, -71.0805767102789)",,,,,,,,,,,,,,,,,,,,,,,,,,
19,1297,212072105,619,,LARCENY ALL OTHERS,D4,270,0,10/5/21 22:31,2021,10,Tuesday,22,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)",,,,,,,,,,,,,,,,,,,,,,,,,,
20,1447,212071904,3410,,TOWED MOTOR VEHICLE,D4, ,0,10/5/21 10:40,2021,10,Tuesday,10,,CAMDEN ST,42.339306,-71.083311,"(42.3393060003329, -71.0833109997905)",,,,,,,,,,,,,,,,,,,,,,,,,,
